,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
2046,Gucci Mane Featuring Usher,0.781,0.806,10,-4.2,0,0.137,0.0982,0.0,0.403,0.69,125.019,236080,4,49.59069,12,1
3203,DeVotchKa,0.358,0.467,4,-9.757,1,0.0261,0.41,0.0475,0.0951,0.209,189.485,314840,3,23.57104,11,0
8344,Sam Tinnesz,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,180691,4,20.82278,7,0
239,Mynt Featuring Kim Sozzi,0.698,0.889,9,-4.288,0,0.0409,0.012,1.49e-06,0.065,0.818,128.015,229172,4,29.21658,10,1
10419,Eric Paslay,0.657,0.841,9,-4.188,1,0.0452,0.16,0.0,0.177,0.722,120.009,167213,4,36.2403,8,1
1473,David Cook,0.414,0.578,8,-6.383,1,0.0287,0.0541,0.0,0.124,0.281,154.96,216147,3,36.6866,9,1
5911,Madonna Featuring Nicki Minaj,0.733,0.612,3,-5.777,0,0.109,0.0478,0.000784,0.161,0.553,149.999,228853,4,39.10846,11,1
10730,The Ocean,0.232,0.65,9,-9.765,1,0.0428,1.02e-05,0.855,0.141,0.172,115.046,300000,4,74.65326,10,0
9896,Sepultura,0.266,0.979,6,-6.435,1,0.147,0.00046,0.694,0.925,0.0612,126.121,350027,4,81.68502,11,0
676,Vader,0.214,0.959,9,-4.791,1,0.123,3.89e-05,0.864,0.0865,0.298,126.606,158360,4,63.70952,6,0
4895,The Cheetah Girls,0.751,0.845,1,-4.444,1,0.134,0.102,0.0,0.0497,0.927,103.995,189693,4,48.47201,8,1
3027,I Set My Friends On Fire,0.348,0.986,5,-3.475,1,0.188,0.00947,0.0,0.385,0.13,113.336,206387,4,55.20507,9,0
11609,Yo Gotti Featuring Nicki Minaj,0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953,276333,4,26.55611,18,1
6734,Cattle Decapitation,0.323,0.985,4,-4.413,1,0.205,2.42e-05,0.592,0.575,0.151,114.778,287307,4,52.85167,10,0
9437,Ghusa,0.466,0.964,1,-6.718,1,0.128,1.5e-05,0.0461,0.173,0.384,116.06,188280,4,28.01408,8,0
5457,Nero's Day At Disneyland,0.627,0.767,11,-9.11,1,0.0407,0.000146,0.447,0.0254,0.873,138.941,208446,4,45.51141,9,0
3678,Shakira Featuring Lil Wayne,0.841,0.729,5,-6.311,0,0.0705,0.443,0.0,0.122,0.688,115.984,183573,4,42.50481,10,1
11299,Langhorne Slim,0.484,0.869,9,-3.778,1,0.0322,0.327,0.000132,0.112,0.757,125.63,195160,3,68.50043,7,0
6255,秋元薫,0.816,0.715,7,-7.068,1,0.0419,0.297,0.00605,0.124,0.823,105.62,166571,4,31.25894,9,0
8486,Eric Church,0.638,0.441,2,-9.064,1,0.0347,0.0422,1.33e-05,0.107,0.473,76.078,214627,4,27.86134,10,1
1105,Willie Clayton,0.776,0.601,10,-9.378,1,0.21,0.4,0.0,0.141,0.687,94.015,237067,4,22.13548,11,0
6536,The Weeknd Featuring Lana Del Rey,0.55,0.404,0,-12.755,0,0.0398,0.441,0.00022,0.11,0.329,135.016,274960,4,68.38677,9,1
588,Wayne Wonder,0.495,0.819,5,-5.656,0,0.0444,0.0479,0.000215,0.177,0.318,100.213,202013,4,39.11311,7,1
9857,Robert Cray,0.523,0.717,5,-3.84,1,0.0353,0.0874,0.001,0.0866,0.313,114.021,194440,3,58.51541,7,0
6540,Khotin,0.769,0.61,0,-11.32,1,0.128,0.51,0.957,0.382,0.691,116.838,406290,4,38.99528,20,0
9389,Pitbull & Ne-Yo,0.72,0.802,1,-5.797,1,0.0582,0.0921,0.0,0.694,0.723,124.043,229360,4,32.56211,10,1
4362,Faith Hill,0.515,0.592,5,-5.661,0,0.0302,0.403,0.0,0.111,0.336,145.897,250267,4,37.01427,11,1
5196,Alan Jackson,0.623,0.387,0,-9.537,1,0.0316,0.549,0.0,0.0764,0.189,115.362,305093,4,29.03554,15,1
6410,Dev,0.736,0.823,8,-4.231,1,0.0675,0.00358,0.000914,0.33,0.442,124.954,226227,4,30.17382,9,1
163,Lil Wayne Featuring Jay-Z,0.486,0.71,7,-6.287,1,0.363,0.0445,0.0,0.35,0.472,170.86,316267,4,20.01532,15,1
8669,Johann Sebastian Bach,0.0657,0.00707,11,-27.131,0,0.0455,0.951,0.174,0.135,0.0761,76.01,212427,1,34.97938,10,0
7902,DJ Isaac,0.634,0.895,1,-4.445,1,0.216,0.0389,0.264,0.18,0.0935,150.057,190400,4,36.23743,10,0
11069,Dennis Lloyd,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,156600,4,36.69342,6,1
7670,Kanye West,0.925,0.31,11,-6.531,0,0.291,0.123,0.0,0.0931,0.291,121.927,145507,4,28.51354,7,1
2399,Mystic Prophecy,0.308,0.98,7,-3.194,1,0.0967,2.09e-05,0.0,0.194,0.0628,89.791,254213,4,45.0957,12,0
9728,David Guetta Featuring Justin Bieber,0.551,0.651,8,-5.828,0,0.0594,0.225,0.0,0.224,0.562,144.875,194907,4,22.36931,8,1
6871,Arve Henriksen,0.309,0.0126,6,-20.379,0,0.0451,0.988,0.864,0.106,0.0784,119.8,191706,5,19.99275,12,0
